,STATE_NAME,Lg_Dist_Code_x,DISTRICT_NAME_x,MICRO_x,SMALL_x,MEDIUM_x,Total_x,Last_Updated_x,Lg_Dist_Code_y,DISTRICT_NAME_y,MICRO_y,SMALL_y,MEDIUM_y,Total_y,Last_Updated_y
0,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,502,ANANTHAPUR,7797,238,10,8045,2022-01-11
1,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,503,CHITOOR,9623,351,19,9993,2022-01-11
2,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,505,EAST GODAVARI,12347,615,49,13011,2022-01-11
3,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,506,GUNTUR,11386,630,53,12069,2022-01-11
4,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,510,KRISHNA,15189,1007,79,16275,2022-01-11
5,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,511,KURNOOL,8972,348,16,9336,2022-01-11
6,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,517,PRAKASAM,6527,231,7,6765,2022-01-11
7,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,515,SPSR NELLORE,7515,351,19,7885,2022-01-11
8,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,519,SRIKAKULAM,2989,98,6,3093,2022-01-11
9,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,520,VISAKHAPATNAM,13102,941,78,14121,2022-01-11
10,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,521,VIZIANAGARAM,3093,130,3,3226,2022-01-11
11,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,523,WEST GODAVARI,10450,586,68,11104,2022-01-11
12,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,504,Y.S.R,6330,273,15,6618,2022-01-11
13,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,502,ANANTHAPUR,7797,238,10,8045,2022-01-11
14,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,503,CHITOOR,9623,351,19,9993,2022-01-11
15,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,505,EAST GODAVARI,12347,615,49,13011,2022-01-11
16,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,506,GUNTUR,11386,630,53,12069,2022-01-11
17,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,510,KRISHNA,15189,1007,79,16275,2022-01-11
18,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,511,KURNOOL,8972,348,16,9336,2022-01-11
19,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,517,PRAKASAM,6527,231,7,6765,2022-01-11
20,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,515,SPSR NELLORE,7515,351,19,7885,2022-01-11
21,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,519,SRIKAKULAM,2989,98,6,3093,2022-01-11
22,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,520,VISAKHAPATNAM,13102,941,78,14121,2022-01-11
23,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,521,VIZIANAGARAM,3093,130,3,3226,2022-01-11
24,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,523,WEST GODAVARI,10450,586,68,11104,2022-01-11
25,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,504,Y.S.R,6330,273,15,6618,2022-01-11
26,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,502,ANANTHAPUR,7797,238,10,8045,2022-01-11
27,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,503,CHITOOR,9623,351,19,9993,2022-01-11
28,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,505,EAST GODAVARI,12347,615,49,13011,2022-01-11
29,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,506,GUNTUR,11386,630,53,12069,2022-01-11
30,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,510,KRISHNA,15189,1007,79,16275,2022-01-11
31,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,511,KURNOOL,8972,348,16,9336,2022-01-11
32,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,517,PRAKASAM,6527,231,7,6765,2022-01-11
33,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,515,SPSR NELLORE,7515,351,19,7885,2022-01-11
34,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,519,SRIKAKULAM,2989,98,6,3093,2022-01-11
35,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,520,VISAKHAPATNAM,13102,941,78,14121,2022-01-11
36,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,521,VIZIANAGARAM,3093,130,3,3226,2022-01-11
37,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,523,WEST GODAVARI,10450,586,68,11104,2022-01-11
38,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,504,Y.S.R,6330,273,15,6618,2022-01-11
39,ANDHRA PRADESH,506,GUNTUR,15955,1678,169,17802,2022-01-11,502,ANANTHAPUR,7797,238,10,8045,2022-01-11
40,ANDHRA PRADESH,506,GUNTUR,15955,1678,169,17802,2022-01-11,503,CHITOOR,9623,351,19,9993,2022-01-11
41,ANDHRA PRADESH,506,GUNTUR,15955,1678,169,17802,2022-01-11,505,EAST GODAVARI,12347,615,49,13011,2022-01-11
42,ANDHRA PRADESH,506,GUNTUR,15955,1678,169,17802,2022-01-11,506,GUNTUR,11386,630,53,12069,2022-01-11
