STATE_NAME,MEDIUM_x,MEDIUM_y,MICRO_x,MICRO_y,SMALL_x,SMALL_y
ANDAMAN AND NICOBAR ISLANDS,21,18,11715,8652,420,333
ANDHRA PRADESH,13390,5486,1999582,1499160,137787,75387
ARUNACHAL PRADESH,275,150,54300,30025,2475,1325
ASSAM,10197,6600,2162952,1354683,110385,72006
BIHAR,15694,9310,9400972,6377730,198588,148504
CHANDIGARH,134,76,11435,9010,1007,687
CHHATTISGARH,15848,7196,2073624,1649340,128240,76328
DADAR AND NAGAR HAVELI,82,3,3730,2511,419,98
DAMAN AND DIU,112,4,3252,1784,590,70
DELHI,28534,15389,1834371,1172589,213400,110880
GOA,182,80,23112,17926,1426,856
GUJARAT,137544,38412,16386612,9343059,1257234,398211
HARYANA,37312,12804,4694888,3255032,360514,159082
HIMACHAL PRADESH,2856,312,342108,260760,18708,7356
JAMMU AND KASHMIR,2960,1240,1468760,948680,37080,22900
JHARKHAND,7392,4080,2345424,1794072,83808,56568
KARNATAKA,65286,30597,10850806,7710568,588876,324508
KERALA,10990,5558,2067688,1373540,123984,74270
LADAKH,0,0,4680,3304,98,64
LAKSHADWEEP,0,0,150,114,0,0
MADHYA PRADESH,54340,20644,13738244,10115040,633880,344968
MAHARASHTRA,229572,100692,46983312,34650720,1799676,913212
MANIPUR,160,144,337216,160816,3952,2800
MEGHALAYA,231,121,20108,14146,1617,979
MIZORAM,88,88,32362,22022,814,572
NAGALAND,48,24,34500,21084,636,276
ODISHA,13890,8430,3509040,2625060,162360,113940
PUDUCHERRY,208,66,36164,20106,1944,798
PUNJAB,29187,7751,4879082,3259422,283682,115483
RAJASTHAN,55176,20328,16538775,10837398,642048,295416
SIKKIM,32,32,5528,4292,224,156
TAMIL NADU,109402,39900,25389586,16380014,1164092,530252
TELANGANA,54417,23529,6567990,4976796,413820,223839
TRIPURA,136,72,48824,28448,2016,1304
UTTAR PRADESH,158400,68550,36481125,24453375,1614750,867525
UTTARAKHAND,3679,1027,710658,516386,34034,16081
WEST BENGAL,37513,17756,3854639,2572688,324024,176111
